Year,Month,Day,MaxTemp
57087,2011,4,19,23.2
57679,2012,12,1,27.4
57680,2012,12,2,20.7
57681,2012,12,3,21.4
57682,2012,12,4,18.9
57683,2012,12,5,18.2
57684,2012,12,6,21.2
57685,2012,12,7,30.6
57686,2012,12,8,37
57687,2012,12,9,21.1
57688,2012,12,10,21.4
57689,2012,12,11,29.1
57690,2012,12,12,34.3
57691,2012,12,13,35.1
57692,2012,12,14,22.9
57693,2012,12,15,24.8
57694,2012,12,16,23.1
57695,2012,12,17,22
57696,2012,12,18,27.8
57697,2012,12,19,32.6
57698,2012,12,20,23.5
57699,2012,12,21,22.4
57700,2012,12,22,28.3
57701,2012,12,23,38.3
57702,2012,12,24,27.6
57703,2012,12,25,21.9
57704,2012,12,26,22.4
57705,2012,12,27,31.2
57706,2012,12,28,21.7
57707,2012,12,29,23.3
57708,2012,12,30,21.9
57709,2012,12,31,24.7
57800,2013,4,1,20.1
57801,2013,4,2,19.9
57802,2013,4,3,17.8
57803,2013,4,4,21
57804,2013,4,5,25.2
57805,2013,4,6,28.2
57806,2013,4,7,27.4
57807,2013,4,8,23.3
57808,2013,4,9,23.5
57809,2013,4,10,24.8
57810,2013,4,11,18.4
57811,2013,4,12,25.1
57812,2013,4,13,24.3
57813,2013,4,14,22.5
57814,2013,4,15,16
57815,2013,4,16,20.2
57816,2013,4,17,19.3
57817,2013,4,18,18.5
57818,2013,4,19,18.4
57819,2013,4,20,19
57820,2013,4,21,20.7
57821,2013,4,22,17.2
57822,2013,4,23,19.7
57823,2013,4,24,20.9
57824,2013,4,25,21.2
57825,2013,4,26,23.6
57826,2013,4,27,24.5
57827,2013,4,28,19.5
57828,2013,4,29,18.4
57829,2013,4,30,19.3
