Year,Month,Day,MaxTemp
4746,1867,12,29,23.3
4747,1867,12,30,21.1
4748,1867,12,31,21.8
4749,1868,1,1,19
4750,1868,1,2,33.2
4751,1868,1,3,22.7
4752,1868,1,4,26.3
4753,1868,1,5,20
4754,1868,1,6,18.9
4755,1868,1,7,22.7
4756,1868,1,8,28.2
4757,1868,1,9,27.7
4758,1868,1,10,24.4
4759,1868,1,11,22.1
4760,1868,1,12,16.7
4761,1868,1,13,17.7
4762,1868,1,14,19.3
4763,1868,1,15,29.6
4764,1868,1,16,20.5
4765,1868,1,17,19.7
4766,1868,1,18,15.6
4767,1868,1,19,19
4768,1868,1,20,22.2
4769,1868,1,21,29.9
4770,1868,1,22,30.7
4771,1868,1,23,32.2
4772,1868,1,24,33.9
4773,1868,1,25,37.9
4774,1868,1,26,19.3
4775,1868,1,27,19.4
4776,1868,1,28,29
4777,1868,1,29,30.1
4778,1868,1,30,20.7
4779,1868,1,31,20.4
4780,1868,2,1,27.9
4781,1868,2,2,28.7
4782,1868,2,3,31.9
4783,1868,2,4,34.1
4784,1868,2,5,20.5
4785,1868,2,6,27.1
4786,1868,2,7,29.9
4787,1868,2,8,24.4
4788,1868,2,9,22.7
4789,1868,2,10,22.7
4790,1868,2,11,26.1
4791,1868,2,12,22.1
4792,1868,2,13,19.4
4793,1868,2,14,20.5
4794,1868,2,15,25.3
4795,1868,2,16,23.3
4796,1868,2,17,25
4797,1868,2,18,29.9
4798,1868,2,19,24.8
4799,1868,2,20,20
4800,1868,2,21,20.1
4801,1868,2,22,21.7
4802,1868,2,23,21.2
4803,1868,2,24,19.4
4804,1868,2,25,25.1
4805,1868,2,26,29.3
4806,1868,2,27,28.7
4807,1868,2,28,23.7
4808,1868,2,29,25.7
4809,1868,3,1,40.3
4810,1868,3,2,24.3
4811,1868,3,3,32
4812,1868,3,4,37.1
4813,1868,3,5,37
4814,1868,3,6,38.1
4815,1868,3,7,22.9
4816,1868,3,8,26.1
4817,1868,3,9,36.9
4818,1868,3,10,21.7
4819,1868,3,11,20.9
4820,1868,3,12,31.2
4821,1868,3,13,20.3
4822,1868,3,14,17.8
4823,1868,3,15,20
4824,1868,3,16,28.7
4825,1868,3,17,19.7
4826,1868,3,18,19
4827,1868,3,19,33
4828,1868,3,20,37.7
4829,1868,3,21,18.4
4830,1868,3,22,20
4831,1868,3,23,21.1
4832,1868,3,24,21.1
4833,1868,3,25,25.5
4834,1868,3,26,25.4
4835,1868,3,27,19.1
4836,1868,3,28,19.1
4837,1868,3,29,18.2
4838,1868,3,30,17.7
4839,1868,3,31,21
4840,1868,4,1,20
4841,1868,4,2,20.7
4842,1868,4,3,19.5
4843,1868,4,4,15.7
4844,1868,4,5,16.9
4845,1868,4,6,25.7
4846,1868,4,7,20.4
4847,1868,4,8,20.7
4848,1868,4,9,22.9
4849,1868,4,10,19.3
4850,1868,4,11,22.2
4851,1868,4,12,15.7
4852,1868,4,13,15.2
4853,1868,4,14,15.8
4854,1868,4,15,21.7
4855,1868,4,16,24.7
4856,1868,4,17,27.1
4857,1868,4,18,18
4858,1868,4,19,16.5
4859,1868,4,20,19
4860,1868,4,21,23.9
4861,1868,4,22,25.5
4862,1868,4,23,23.7
4863,1868,4,24,19.3
4864,1868,4,25,15.7
4865,1868,4,26,23.5
4866,1868,4,27,24.6
4867,1868,4,28,26.1
4868,1868,4,29,23.6
4869,1868,4,30,16.3
4870,1868,5,1,16
4871,1868,5,2,15.5
4872,1868,5,3,17.1
4873,1868,5,4,20.4
4874,1868,5,5,20.8
4875,1868,5,6,14.4
4876,1868,5,7,14.4
4877,1868,5,8,19.5
4878,1868,5,9,22
4879,1868,5,10,22.1
4880,1868,5,11,22.1
4881,1868,5,12,17.7
4882,1868,5,13,16.7
4883,1868,5,14,18.9
4884,1868,5,15,24.2
4885,1868,5,16,26
4886,1868,5,17,24.3
4887,1868,5,18,19.1
4888,1868,5,19,18.5
4889,1868,5,20,13.5
4890,1868,5,21,15
4891,1868,5,22,15
4892,1868,5,23,16.7
4893,1868,5,24,16.3
4894,1868,5,25,13.9
4895,1868,5,26,16.1
4896,1868,5,27,17.1
4897,1868,5,28,17.6
4898,1868,5,29,13
4899,1868,5,30,12.9
4900,1868,5,31,13.2
4901,1868,6,1,14.1
4902,1868,6,2,14.4
4903,1868,6,3,14.3
4904,1868,6,4,12.1
4905,1868,6,5,15
4906,1868,6,6,15.7
4907,1868,6,7,12.1
4908,1868,6,8,12.1
4909,1868,6,9,9.4
4910,1868,6,10,16.1
4911,1868,6,11,17.4
4912,1868,6,12,18.1
4913,1868,6,13,14.5
4914,1868,6,14,11.7
4915,1868,6,15,12.7
4916,1868,6,16,15
4917,1868,6,17,15
4918,1868,6,18,17.7
4919,1868,6,19,16
4920,1868,6,20,16
4921,1868,6,21,12.2
4922,1868,6,22,12.7
4923,1868,6,23,13.5
4924,1868,6,24,12.8
4925,1868,6,25,13.3
4926,1868,6,26,13.1
4927,1868,6,27,15.5
4928,1868,6,28,16.5
4929,1868,6,29,19.4
4930,1868,6,30,14.3
4931,1868,7,1,16
4932,1868,7,2,16.9
4933,1868,7,3,12.6
4934,1868,7,4,16.6
4935,1868,7,5,15.7
4936,1868,7,6,15.5
4937,1868,7,7,13
4938,1868,7,8,13.2
4939,1868,7,9,10.5
4940,1868,7,10,10.7
4941,1868,7,11,9.9
4942,1868,7,12,14.3
4943,1868,7,13,15.1
4944,1868,7,14,17.3
4945,1868,7,15,15
4946,1868,7,16,16.1
4947,1868,7,17,12.7
4948,1868,7,18,9.9
4949,1868,7,19,10.4
4950,1868,7,20,8.4
4951,1868,7,21,12.1
4952,1868,7,22,16
4953,1868,7,23,12
4954,1868,7,24,12.1
4955,1868,7,25,10.7
4956,1868,7,26,15.5
4957,1868,7,27,16.9
4958,1868,7,28,17.7
4959,1868,7,29,12.8
4960,1868,7,30,11
4961,1868,7,31,11.7
4962,1868,8,1,10.6
4963,1868,8,2,18.3
4964,1868,8,3,19.5
4965,1868,8,4,19.3
4966,1868,8,5,14.5
4967,1868,8,6,16
4968,1868,8,7,18.9
4969,1868,8,8,19.6
4970,1868,8,9,13.5
4971,1868,8,10,16.7
4972,1868,8,11,11.3
4973,1868,8,12,11.5
4974,1868,8,13,12.1
4975,1868,8,14,13.3
4976,1868,8,15,10.9
4977,1868,8,16,16.7
4978,1868,8,17,12.8
4979,1868,8,18,13.9
4980,1868,8,19,13.4
4981,1868,8,20,15.3
4982,1868,8,21,14.3
4983,1868,8,22,13.5
4984,1868,8,23,15
4985,1868,8,24,17.1
4986,1868,8,25,19.4
4987,1868,8,26,14.4
4988,1868,8,27,19.9
4989,1868,8,28,14.4
4990,1868,8,29,13.9
4991,1868,8,30,13.3
4992,1868,8,31,14.4
4993,1868,9,1,13.9
4994,1868,9,2,15
4995,1868,9,3,15.5
4996,1868,9,4,20.5
4997,1868,9,5,22.3
4998,1868,9,6,17.8
4999,1868,9,7,15.5
5000,1868,9,8,17.3
5001,1868,9,9,18.9
5002,1868,9,10,16.1
5003,1868,9,11,13.3
5004,1868,9,12,14.3
5005,1868,9,13,13.7
5006,1868,9,14,15.7
5007,1868,9,15,23.8
5008,1868,9,16,25.5
5009,1868,9,17,24.3
5010,1868,9,18,21.4
5011,1868,9,19,16.3
5012,1868,9,20,24.5
5013,1868,9,21,18.9
5014,1868,9,22,18.3
5015,1868,9,23,18.7
5016,1868,9,24,16.6
5017,1868,9,25,16.2
5018,1868,9,26,17.1
5019,1868,9,27,20.1
5020,1868,9,28,18.3
5021,1868,9,29,19.9
5022,1868,9,30,18.1
5023,1868,10,1,14.2
5024,1868,10,2,18.3
5025,1868,10,3,24.4
5026,1868,10,4,16.3
5027,1868,10,5,20
5028,1868,10,6,23.3
5029,1868,10,7,20.6
5030,1868,10,8,19.3
5031,1868,10,9,19.7
5032,1868,10,10,29.3
5033,1868,10,11,16.5
5034,1868,10,12,22.7
5035,1868,10,13,17.5
5036,1868,10,14,20.9
5037,1868,10,15,15.6
5038,1868,10,16,16.8
5039,1868,10,17,18.9
5040,1868,10,18,16.8
5041,1868,10,19,29.1
5042,1868,10,20,15.5
5043,1868,10,21,19.3
5044,1868,10,22,20.3
5045,1868,10,23,19.4
5046,1868,10,24,27.7
5047,1868,10,25,17.6
5048,1868,10,26,18
5049,1868,10,27,31
5050,1868,10,28,35.4
5051,1868,10,29,34.4
5052,1868,10,30,16.3
5053,1868,10,31,22.9
5054,1868,11,1,31.8
5055,1868,11,2,23.3
5056,1868,11,3,29.4
5057,1868,11,4,17.7
5058,1868,11,5,20
5059,1868,11,6,18.5
5060,1868,11,7,22.2
5061,1868,11,8,26.3
5062,1868,11,9,21.1
5063,1868,11,10,31.6
5064,1868,11,11,33.9
5065,1868,11,12,14.4
5066,1868,11,13,16.7
5067,1868,11,14,18.1
5068,1868,11,15,25
5069,1868,11,16,31
5070,1868,11,17,17.1
5071,1868,11,18,17.7
5072,1868,11,19,22.7
5073,1868,11,20,16.1
5074,1868,11,21,18.9
5075,1868,11,22,18.9
5076,1868,11,23,20.1
5077,1868,11,24,18.9
5078,1868,11,25,28.9
5079,1868,11,26,20
5080,1868,11,27,25.5
5081,1868,11,28,38.5
5082,1868,11,29,21.1
5083,1868,11,30,20.1
5084,1868,12,1,20.7
5085,1868,12,2,27.2
5086,1868,12,3,19.4
5087,1868,12,4,26.2
5088,1868,12,5,19.4
5089,1868,12,6,19.1
5090,1868,12,7,17.2
5091,1868,12,8,17.9
5092,1868,12,9,21.6
5093,1868,12,10,34.4
5094,1868,12,11,38.3
5095,1868,12,12,23.5
5096,1868,12,13,20
5097,1868,12,14,30.3
5098,1868,12,15,22
5099,1868,12,16,22.2
5100,1868,12,17,17.2
5101,1868,12,18,18.3
5102,1868,12,19,29.3
5103,1868,12,20,36.7
5104,1868,12,21,20.5
5105,1868,12,22,22.6
5106,1868,12,23,24.1
5107,1868,12,24,43.3
5108,1868,12,25,22.1
5109,1868,12,26,20.7
5110,1868,12,27,21.1
5111,1868,12,28,22.1
5112,1868,12,29,19.4
5113,1868,12,30,20
5114,1868,12,31,24.3
5115,1869,1,1,19.3
5116,1869,1,2,22.1
5117,1869,1,3,22.1
5118,1869,1,4,22.2
5119,1869,1,5,36.7
5120,1869,1,6,21.1
5121,1869,1,7,21.5
5122,1869,1,8,33.7
5123,1869,1,9,33.1
5124,1869,1,10,23.6
5125,1869,1,11,21.5
5126,1869,1,12,22.7
5127,1869,1,13,33.3
5128,1869,1,14,34.3
5129,1869,1,15,24.5
5130,1869,1,16,22.7
5131,1869,1,17,18.9
5132,1869,1,18,21.3
5133,1869,1,19,18.9
5134,1869,1,20,24.5
5135,1869,1,21,23.6
5136,1869,1,22,26.2
5137,1869,1,23,22.5
5138,1869,1,24,26.3
5139,1869,1,25,27.1
5140,1869,1,26,28.1
5141,1869,1,27,37.5
5142,1869,1,28,36.7
5143,1869,1,29,25.5
5144,1869,1,30,34.4
5145,1869,1,31,25.5
5146,1869,2,1,26.1
5147,1869,2,2,23.9
5148,1869,2,3,22.7
5149,1869,2,4,20.3
5150,1869,2,5,19.1
5151,1869,2,6,26.4
5152,1869,2,7,32.8
5153,1869,2,8,29.4
5154,1869,2,9,24
5155,1869,2,10,21.5
5156,1869,2,11,23.4
5157,1869,2,12,21.1
5158,1869,2,13,24.1
5159,1869,2,14,27.3
5160,1869,2,15,27.3
5161,1869,2,16,28.8
5162,1869,2,17,28.4
5163,1869,2,18,26.1
5164,1869,2,19,38.2
5165,1869,2,20,37.2
5166,1869,2,21,24.6
5167,1869,2,22,18.5
5168,1869,2,23,20
5169,1869,2,24,22.5
5170,1869,2,25,19.4
5171,1869,2,26,19.2
5172,1869,2,27,22.2
5173,1869,2,28,35
5174,1869,3,1,19.1
5175,1869,3,2,30.5
5176,1869,3,3,22.2
5177,1869,3,4,20.5
5178,1869,3,5,19.4
5179,1869,3,6,22.5
5180,1869,3,7,21
5181,1869,3,8,21.4
5182,1869,3,9,20.5
5183,1869,3,10,21.4
5184,1869,3,11,27.7
5185,1869,3,12,22.7
5186,1869,3,13,22.1
5187,1869,3,14,25.7
5188,1869,3,15,30.5
5189,1869,3,16,25
5190,1869,3,17,18.4
5191,1869,3,18,18.4
5192,1869,3,19,21.2
5193,1869,3,20,23.3
5194,1869,3,21,21.1
5195,1869,3,22,25.3
5196,1869,3,23,22.8
5197,1869,3,24,23.5
5198,1869,3,25,25.5
5199,1869,3,26,20.5
5200,1869,3,27,31.7
5201,1869,3,28,27.4
5202,1869,3,29,26.1
5203,1869,3,30,15.4
5204,1869,3,31,16.7
5205,1869,4,1,18.3
5206,1869,4,2,21.1
5207,1869,4,3,25.3
5208,1869,4,4,29.7
5209,1869,4,5,16.6
5210,1869,4,6,19
5211,1869,4,7,20.9
5212,1869,4,8,19.3
5213,1869,4,9,16.7
5214,1869,4,10,15
5215,1869,4,11,19.1
5216,1869,4,12,20.5
5217,1869,4,13,16.1
5218,1869,4,14,16.7
5219,1869,4,15,23.9
5220,1869,4,16,25.5
5221,1869,4,17,22.3
5222,1869,4,18,21.2
5223,1869,4,19,19.4
5224,1869,4,20,23.9
5225,1869,4,21,25.5
5226,1869,4,22,23.9
5227,1869,4,23,20.5
5228,1869,4,24,13.6
5229,1869,4,25,17.8
5230,1869,4,26,15.9
5231,1869,4,27,16.5
5232,1869,4,28,16.7
5233,1869,4,29,20.4
5234,1869,4,30,18.3
5235,1869,5,1,15.5
5236,1869,5,2,16.8
5237,1869,5,3,15.4
5238,1869,5,4,16.4
5239,1869,5,5,15
5240,1869,5,6,14.1
5241,1869,5,7,17.1
5242,1869,5,8,18.3
5243,1869,5,9,15.2
5244,1869,5,10,17.6
5245,1869,5,11,16.5
5246,1869,5,12,15.6
5247,1869,5,13,17.9
5248,1869,5,14,19.6
5249,1869,5,15,18.9
5250,1869,5,16,15.3
5251,1869,5,17,13.9
5252,1869,5,18,14
5253,1869,5,19,13.1
5254,1869,5,20,17.1
5255,1869,5,21,15.5
5256,1869,5,22,15.5
5257,1869,5,23,16.7
5258,1869,5,24,14.4
5259,1869,5,25,15.5
5260,1869,5,26,14.3
5261,1869,5,27,13.9
5262,1869,5,28,11.5
5263,1869,5,29,13.2
5264,1869,5,30,14.9
5265,1869,5,31,16.1
5266,1869,6,1,16.7
5267,1869,6,2,15.6
5268,1869,6,3,16.9
5269,1869,6,4,17.5
5270,1869,6,5,15
5271,1869,6,6,16.6
5272,1869,6,7,16.5
5273,1869,6,8,15.5
5274,1869,6,9,13.7
5275,1869,6,10,12.7
5276,1869,6,11,12.2
5277,1869,6,12,13.1
5278,1869,6,13,11.7
5279,1869,6,14,11.7
5280,1869,6,15,12.2
5281,1869,6,16,13.1
5282,1869,6,17,12.1
5283,1869,6,18,11.7
5284,1869,6,19,11.9
5285,1869,6,20,12.7
5286,1869,6,21,16
5287,1869,6,22,16.8
5288,1869,6,23,15.1
5289,1869,6,24,14.4
5290,1869,6,25,13.3
5291,1869,6,26,12.7
5292,1869,6,27,16.2
5293,1869,6,28,15.7
5294,1869,6,29,15.6
5295,1869,6,30,13.3
5296,1869,7,1,13.7
5297,1869,7,2,16
5298,1869,7,3,16.2
5299,1869,7,4,16
5300,1869,7,5,16.3
5301,1869,7,6,15
5302,1869,7,7,14.5
5303,1869,7,8,15.1
5304,1869,7,9,16.7
5305,1869,7,10,17.3
5306,1869,7,11,12.9
5307,1869,7,12,17.1
5308,1869,7,13,18.1
5309,1869,7,14,15.3
5310,1869,7,15,16.1
5311,1869,7,16,11.7
5312,1869,7,17,11.7
5313,1869,7,18,11.1
5314,1869,7,19,14.3
5315,1869,7,20,11.1
5316,1869,7,21,11.1
5317,1869,7,22,12.5
5318,1869,7,23,12.6
5319,1869,7,24,10.4
5320,1869,7,25,12.1
5321,1869,7,26,13.7
5322,1869,7,27,15.9
5323,1869,7,28,13.8
5324,1869,7,29,11.3
5325,1869,7,30,12.8
5326,1869,7,31,11.9
5327,1869,8,1,9.4
5328,1869,8,2,11.5
5329,1869,8,3,12.8
5330,1869,8,4,15.6
5331,1869,8,5,16.7
5332,1869,8,6,16.7
5333,1869,8,7,15.6
5334,1869,8,8,13.9
5335,1869,8,9,15.9
5336,1869,8,10,15.1
5337,1869,8,11,18.9
5338,1869,8,12,19
5339,1869,8,13,16.7
5340,1869,8,14,17.2
5341,1869,8,15,12.8
5342,1869,8,16,16.1
5343,1869,8,17,12.5
5344,1869,8,18,16.3
5345,1869,8,19,18.7
5346,1869,8,20,22.3
5347,1869,8,21,19
5348,1869,8,22,17.1
5349,1869,8,23,18.4
5350,1869,8,24,20.3
5351,1869,8,25,17.2
5352,1869,8,26,16.2
5353,1869,8,27,15
5354,1869,8,28,18.9
5355,1869,8,29,23.3
5356,1869,8,30,14.4
5357,1869,8,31,12.1
5358,1869,9,1,13.1
5359,1869,9,2,15.5
5360,1869,9,3,18.5
5361,1869,9,4,11.7
5362,1869,9,5,11.8
5363,1869,9,6,15.8
5364,1869,9,7,13.3
5365,1869,9,8,10.7
5366,1869,9,9,12.1
5367,1869,9,10,12.9
5368,1869,9,11,13.9
5369,1869,9,12,21.5
5370,1869,9,13,22.2
5371,1869,9,14,23.3
5372,1869,9,15,25.4
5373,1869,9,16,23.4
5374,1869,9,17,17
5375,1869,9,18,20.4
5376,1869,9,19,15.3
5377,1869,9,20,16.6
5378,1869,9,21,17.7
5379,1869,9,22,15.7
5380,1869,9,23,15.1
5381,1869,9,24,15.1
5382,1869,9,25,24.9
5383,1869,9,26,25.3
5384,1869,9,27,16.3
5385,1869,9,28,24.3
5386,1869,9,29,23.9
5387,1869,9,30,23.8
5388,1869,10,1,16.8
5389,1869,10,2,16.1
5390,1869,10,3,17.9
5391,1869,10,4,22
5392,1869,10,5,14.5
5393,1869,10,6,12.3
5394,1869,10,7,18.9
5395,1869,10,8,17.2
5396,1869,10,9,20.5
5397,1869,10,10,18.9
5398,1869,10,11,16.7
5399,1869,10,12,13.7
5400,1869,10,13,14.3
5401,1869,10,14,23.1
5402,1869,10,15,26.7
5403,1869,10,16,21.8
5404,1869,10,17,12.7
5405,1869,10,18,18.3
5406,1869,10,19,25.3
5407,1869,10,20,17.3
5408,1869,10,21,18.1
5409,1869,10,22,26.7
5410,1869,10,23,14.3
5411,1869,10,24,19
5412,1869,10,25,21.7
5413,1869,10,26,20.4
5414,1869,10,27,17.3
5415,1869,10,28,14.4
5416,1869,10,29,17.8
5417,1869,10,30,25.4
5418,1869,10,31,20
5419,1869,11,1,27.7
5420,1869,11,2,27.1
5421,1869,11,3,29.4
5422,1869,11,4,25.7
5423,1869,11,5,15
5424,1869,11,6,16.3
5425,1869,11,7,26.7
5426,1869,11,8,20
5427,1869,11,9,16.7
5428,1869,11,10,18.5
5429,1869,11,11,28.3
5430,1869,11,12,20.6
5431,1869,11,13,18.9
5432,1869,11,14,21.1
5433,1869,11,15,28.1
5434,1869,11,16,33.7
5435,1869,11,17,33.9
5436,1869,11,18,21.7
5437,1869,11,19,21.8
5438,1869,11,20,17.8
5439,1869,11,21,17.8
5440,1869,11,22,19.4
5441,1869,11,23,24.4
5442,1869,11,24,25.3
5443,1869,11,25,18.2
5444,1869,11,26,19
5445,1869,11,27,23.4
5446,1869,11,28,18.7
5447,1869,11,29,18.9
5448,1869,11,30,22
5449,1869,12,1,21.6
5450,1869,12,2,25.5
5451,1869,12,3,23.3
5452,1869,12,4,20.5
5453,1869,12,5,24.8
5454,1869,12,6,27.9
5455,1869,12,7,32.7
5456,1869,12,8,25
5457,1869,12,9,20
5458,1869,12,10,22.7
5459,1869,12,11,25.5
5460,1869,12,12,20.3
5461,1869,12,13,20.5
5462,1869,12,14,34.5
5463,1869,12,15,37.7
5464,1869,12,16,18.1
5465,1869,12,17,22.7
5466,1869,12,18,25
5467,1869,12,19,35.5
5468,1869,12,20,42.4
5469,1869,12,21,38.5
5470,1869,12,22,22.2
5471,1869,12,23,20.7
5472,1869,12,24,21.7
5473,1869,12,25,22.2
5474,1869,12,26,34.7
5475,1869,12,27,22.2
5476,1869,12,28,20.3
5477,1869,12,29,20.5
5478,1869,12,30,34.4
5479,1869,12,31,21.7
5480,1870,1,1,23.3
5481,1870,1,2,32.7
5482,1870,1,3,35.5
5483,1870,1,4,19.4
5484,1870,1,5,24.7
5485,1870,1,6,24.3
5486,1870,1,7,23.3
5487,1870,1,8,26.5
5488,1870,1,9,20
5489,1870,1,10,34.5
5490,1870,1,11,25
5491,1870,1,12,40.1
5492,1870,1,13,34.5
5493,1870,1,14,18.4
5494,1870,1,15,19.5
5495,1870,1,16,21.7
5496,1870,1,17,34.4
5497,1870,1,18,35.5
5498,1870,1,19,20.1
5499,1870,1,20,20.5
5500,1870,1,21,21.9
5501,1870,1,22,31.4
5502,1870,1,23,41.7
5503,1870,1,24,41.7
5504,1870,1,25,30.7
5505,1870,1,26,18.3
5506,1870,1,27,19.2
5507,1870,1,28,20.5
5508,1870,1,29,27.9
5509,1870,1,30,22.7
5510,1870,1,31,21.5
5511,1870,2,1,31.5
5512,1870,2,2,37.1
5513,1870,2,3,39.3
5514,1870,2,4,21.5
5515,1870,2,5,36.1
5516,1870,2,6,21.5
5517,1870,2,7,22.9
5518,1870,2,8,24.7
5519,1870,2,9,25.1
5520,1870,2,10,35.5
5521,1870,2,11,26.7
5522,1870,2,12,22.2
5523,1870,2,13,21.4
5524,1870,2,14,26.7
5525,1870,2,15,42.7
5526,1870,2,16,22.4
5527,1870,2,17,21.7
5528,1870,2,18,32.7
5529,1870,2,19,22.1
5530,1870,2,20,24
5531,1870,2,21,38.9
5532,1870,2,22,18.9
5533,1870,2,23,21.1
5534,1870,2,24,21.2
5535,1870,2,25,21.1
5536,1870,2,26,18.7
5537,1870,2,27,21.4
5538,1870,2,28,24
5539,1870,3,1,26.1
5540,1870,3,2,30.7
5541,1870,3,3,22.7
5542,1870,3,4,22.2
5543,1870,3,5,18.3
5544,1870,3,6,18.1
5545,1870,3,7,18.9
5546,1870,3,8,22.2
5547,1870,3,9,22.2
5548,1870,3,10,24.4
5549,1870,3,11,26.7
5550,1870,3,12,22.9
5551,1870,3,13,26.1
5552,1870,3,14,29.4
5553,1870,3,15,31.1
5554,1870,3,16,32
5555,1870,3,17,26.1
5556,1870,3,18,29.7
5557,1870,3,19,32.2
5558,1870,3,20,18.9
5559,1870,3,21,23.5
5560,1870,3,22,20.5
5561,1870,3,23,23.9
5562,1870,3,24,28.3
5563,1870,3,25,27.9
5564,1870,3,26,32
5565,1870,3,27,19.3
5566,1870,3,28,26.1
5567,1870,3,29,29.3
5568,1870,3,30,22.3
5569,1870,3,31,25.7
5570,1870,4,1,26.3
5571,1870,4,2,30.5
5572,1870,4,3,25.3
5573,1870,4,4,22.9
5574,1870,4,5,23.3
5575,1870,4,6,29.3
5576,1870,4,7,28.9
5577,1870,4,8,27.5
5578,1870,4,9,27.2
5579,1870,4,10,24.4
5580,1870,4,11,21.7
5581,1870,4,12,27.6
5582,1870,4,13,25.6
5583,1870,4,14,15.5
5584,1870,4,15,14
5585,1870,4,16,21.9
5586,1870,4,17,21.1
5587,1870,4,18,18.9
5588,1870,4,19,18.7
5589,1870,4,20,18.9
5590,1870,4,21,20
5591,1870,4,22,20.8
5592,1870,4,23,16.1
5593,1870,4,24,15.9
5594,1870,4,25,14.4
5595,1870,4,26,16.1
5596,1870,4,27,21.1
5597,1870,4,28,21.1
5598,1870,4,29,18.1
5599,1870,4,30,17.2
5600,1870,5,1,16.1
5601,1870,5,2,15.3
5602,1870,5,3,19.8
5603,1870,5,4,18.1
5604,1870,5,5,20.3
5605,1870,5,6,17.3
5606,1870,5,7,17.7
5607,1870,5,8,13.3
5608,1870,5,9,13.7
5609,1870,5,10,14.5
5610,1870,5,11,15
5611,1870,5,12,17.2
5612,1870,5,13,14.9
5613,1870,5,14,14.6
5614,1870,5,15,16.1
5615,1870,5,16,16.1
5616,1870,5,17,17.9
5617,1870,5,18,16.6
5618,1870,5,19,14.7
5619,1870,5,20,16.1
5620,1870,5,21,16.1
5621,1870,5,22,14.9
5622,1870,5,23,14.7
5623,1870,5,24,13.7
5624,1870,5,25,16.1
5625,1870,5,26,15.7
5626,1870,5,27,15.3
5627,1870,5,28,15.7
5628,1870,5,29,17.2
5629,1870,5,30,19.5
5630,1870,5,31,17.2
5631,1870,6,1,14
5632,1870,6,2,13.9
5633,1870,6,3,16.7
5634,1870,6,4,15.7
5635,1870,6,5,17.1
5636,1870,6,6,16.1
5637,1870,6,7,15
5638,1870,6,8,12.2
5639,1870,6,9,10.5
5640,1870,6,10,9.8
5641,1870,6,11,11.7
5642,1870,6,12,12.7
5643,1870,6,13,14.4
5644,1870,6,14,11.7
5645,1870,6,15,12.2
5646,1870,6,16,13.9
5647,1870,6,17,12.2
5648,1870,6,18,16.5
5649,1870,6,19,13.3
5650,1870,6,20,15
5651,1870,6,21,15.4
5652,1870,6,22,13.3
5653,1870,6,23,13.9
5654,1870,6,24,15.7
5655,1870,6,25,15.5
5656,1870,6,26,17.1
5657,1870,6,27,14.4
5658,1870,6,28,12.4
5659,1870,6,29,15.1
5660,1870,6,30,16.5
5661,1870,7,1,11.7
5662,1870,7,2,11.5
5663,1870,7,3,12.9
5664,1870,7,4,11.1
5665,1870,7,5,14.9
5666,1870,7,6,12.7
5667,1870,7,7,13.9
5668,1870,7,8,15.7
5669,1870,7,9,13.7
5670,1870,7,10,13.9
5671,1870,7,11,15.6
5672,1870,7,12,9.5
5673,1870,7,13,16.7
5674,1870,7,14,14.9
5675,1870,7,15,16.7
5676,1870,7,16,18.1
5677,1870,7,17,13.7
5678,1870,7,18,16.5
5679,1870,7,19,13.7
