Year,Month,Day,MaxTemp
47086,1983,12,1,18.2
47087,1983,12,2,18.8
47088,1983,12,3,17.8
47089,1983,12,4,18.9
47090,1983,12,5,24
47091,1983,12,6,20.9
47092,1983,12,7,16.8
47093,1983,12,8,18.5
47094,1983,12,9,20.6
47095,1983,12,10,24.9
47096,1983,12,11,28.1
47097,1983,12,12,25.7
47098,1983,12,13,19.2
47099,1983,12,14,32.7
47100,1983,12,15,21.3
47101,1983,12,16,20.4
47102,1983,12,17,20.5
47103,1983,12,18,22.8
47104,1983,12,19,35.3
47105,1983,12,20,38.7
47106,1983,12,21,21.4
47107,1983,12,22,23.3
47108,1983,12,23,22
47109,1983,12,24,31.7
47110,1983,12,25,23.4
47111,1983,12,26,19.1
47112,1983,12,27,19.5
47113,1983,12,28,30
47114,1983,12,29,32.4
47115,1983,12,30,33.6
47116,1983,12,31,30
47117,1984,1,1,27.7
47118,1984,1,2,28.1
47119,1984,1,3,23.7
47120,1984,1,4,20.6
47121,1984,1,5,32.3
47122,1984,1,6,31.2
47123,1984,1,7,21.5
47124,1984,1,8,23
47125,1984,1,9,21.9
47126,1984,1,10,23
47127,1984,1,11,21.6
47128,1984,1,12,27.2
47129,1984,1,13,29.2
47130,1984,1,14,32
47131,1984,1,15,22.5
47132,1984,1,16,23.9
47133,1984,1,17,19.7
47134,1984,1,18,19.5
47135,1984,1,19,22
47136,1984,1,20,22.1
47137,1984,1,21,19.7
47138,1984,1,22,19.4
47139,1984,1,23,30.5
47140,1984,1,24,28.5
47141,1984,1,25,20.2
47142,1984,1,26,19
47143,1984,1,27,20.2
47144,1984,1,28,22.6
47145,1984,1,29,28.4
47146,1984,1,30,18.6
47147,1984,1,31,20.3
47148,1984,2,1,19
47149,1984,2,2,26.2
47150,1984,2,3,30
47151,1984,2,4,24.2
47152,1984,2,5,23.4
47153,1984,2,6,34.7
47154,1984,2,7,20.4
47155,1984,2,8,20.7
47156,1984,2,9,20
47157,1984,2,10,19.5
47158,1984,2,11,31.6
47159,1984,2,12,33.7
47160,1984,2,13,23.5
47161,1984,2,14,24.6
47162,1984,2,15,33.9
47163,1984,2,16,22.4
47164,1984,2,17,24.3
47165,1984,2,18,29.5
47166,1984,2,19,31.7
47167,1984,2,20,32.9
47168,1984,2,21,20.5
47169,1984,2,22,28.5
47170,1984,2,23,27.3
47171,1984,2,24,19.5
47172,1984,2,25,21.4
47173,1984,2,26,33.2
47174,1984,2,27,35
47175,1984,2,28,18.1
47176,1984,2,29,19.5
47177,1984,3,1,17.2
47178,1984,3,2,18.1
47179,1984,3,3,19.5
47180,1984,3,4,21.5
47181,1984,3,5,29.2
47182,1984,3,6,33.8
47183,1984,3,7,20.8
47184,1984,3,8,17.5
47185,1984,3,9,21
47186,1984,3,10,27.4
47187,1984,3,11,21.2
47188,1984,3,12,27.1
47189,1984,3,13,22.8
47190,1984,3,14,18.7
47191,1984,3,15,19
47192,1984,3,16,19.7
47193,1984,3,17,28.7
47194,1984,3,18,25.5
47195,1984,3,19,18.4
47196,1984,3,20,18.5
47197,1984,3,21,23.6
47198,1984,3,22,26.9
47199,1984,3,23,28
47200,1984,3,24,24.7
47201,1984,3,25,21.5
47202,1984,3,26,17.5
47203,1984,3,27,16.1
47204,1984,3,28,18.7
47205,1984,3,29,24.5
47206,1984,3,30,27.6
47207,1984,3,31,17.4
47208,1984,4,1,18.2
47209,1984,4,2,19.7
47210,1984,4,3,18.5
47211,1984,4,4,17.7
47212,1984,4,5,20.7
47213,1984,4,6,21.2
47214,1984,4,7,17.2
47215,1984,4,8,21.5
47216,1984,4,9,22
47217,1984,4,10,23.2
47218,1984,4,11,25.4
47219,1984,4,12,24.6
47220,1984,4,13,24.8
47221,1984,4,14,25
47222,1984,4,15,25
47223,1984,4,16,18.2
47224,1984,4,17,21.5
47225,1984,4,18,16.2
47226,1984,4,19,17.3
47227,1984,4,20,15.5
47228,1984,4,21,16.4
47229,1984,4,22,19.6
47230,1984,4,23,18.5
47231,1984,4,24,16.5
47232,1984,4,25,16
47233,1984,4,26,17.7
47234,1984,4,27,19.2
47235,1984,4,28,16.8
47236,1984,4,29,16.5
47237,1984,4,30,22.5
47238,1984,5,1,22.7
47239,1984,5,2,23.5
47240,1984,5,3,19
47241,1984,5,4,15.5
47242,1984,5,5,13.5
47243,1984,5,6,14
47244,1984,5,7,14.7
47245,1984,5,8,15.6
47246,1984,5,9,17
47247,1984,5,10,18
47248,1984,5,11,19.6
47249,1984,5,12,17.1
47250,1984,5,13,16.7
47251,1984,5,14,16.9
47252,1984,5,15,18.2
47253,1984,5,16,19.4
47254,1984,5,17,22
47255,1984,5,18,21.7
47256,1984,5,19,22
47257,1984,5,20,22.2
47258,1984,5,21,20
47259,1984,5,22,16.5
47260,1984,5,23,15.6
47261,1984,5,24,15
47262,1984,5,25,16.6
47263,1984,5,26,18.7
47264,1984,5,27,18.7
47265,1984,5,28,18.1
47266,1984,5,29,15.6
47267,1984,5,30,20.1
47268,1984,5,31,20.3
47269,1984,6,1,15.2
47270,1984,6,2,17.1
47271,1984,6,3,16.3
47272,1984,6,4,18.3
47273,1984,6,5,18.3
47274,1984,6,6,19
47275,1984,6,7,20
47276,1984,6,8,15.7
47277,1984,6,9,14.9
47278,1984,6,10,13.1
47279,1984,6,11,13.6
47280,1984,6,12,13.8
47281,1984,6,13,15
47282,1984,6,14,16.9
47283,1984,6,15,18.3
47284,1984,6,16,16.4
47285,1984,6,17,14
47286,1984,6,18,12.5
47287,1984,6,19,12.8
47288,1984,6,20,12.2
47289,1984,6,21,14.2
47290,1984,6,22,14.2
47291,1984,6,23,15.5
47292,1984,6,24,15.1
47293,1984,6,25,14.4
47294,1984,6,26,12.9
47295,1984,6,27,10.8
47296,1984,6,28,11.7
47297,1984,6,29,13.3
47298,1984,6,30,12.4
47299,1984,7,1,13.4
47300,1984,7,2,10.6
47301,1984,7,3,7
47302,1984,7,4,12.6
47303,1984,7,5,13.2
47304,1984,7,6,12.1
47305,1984,7,7,10.3
47306,1984,7,8,15.7
47307,1984,7,9,11.7
47308,1984,7,10,15.1
47309,1984,7,11,15.8
47310,1984,7,12,15
47311,1984,7,13,11.6
47312,1984,7,14,11.4
47313,1984,7,15,10
47314,1984,7,16,14.7
47315,1984,7,17,13.6
47316,1984,7,18,13.2
47317,1984,7,19,11
47318,1984,7,20,13
47319,1984,7,21,12
47320,1984,7,22,10.6
47321,1984,7,23,13.3
47322,1984,7,24,14.5
47323,1984,7,25,13.5
47324,1984,7,26,15.9
47325,1984,7,27,12.8
47326,1984,7,28,11.7
47327,1984,7,29,13
47328,1984,7,30,14
47329,1984,7,31,16
47330,1984,8,1,17
47331,1984,8,2,16.3
47332,1984,8,3,17.6
47333,1984,8,4,19.5
47334,1984,8,5,14
47335,1984,8,6,17.5
47336,1984,8,7,19.2
47337,1984,8,8,18.5
47338,1984,8,9,15.1
47339,1984,8,10,15.4
47340,1984,8,11,13.3
47341,1984,8,12,13.1
47342,1984,8,13,12.8
47343,1984,8,14,12
47344,1984,8,15,13.3
47345,1984,8,16,12.9
47346,1984,8,17,15.4
47347,1984,8,18,13.4
47348,1984,8,19,15.1
47349,1984,8,20,14.7
47350,1984,8,21,14.9
47351,1984,8,22,16.8
47352,1984,8,23,15.8
47353,1984,8,24,17
47354,1984,8,25,14.1
47355,1984,8,26,16.5
47356,1984,8,27,12.4
47357,1984,8,28,12.7
47358,1984,8,29,14.6
47359,1984,8,30,17.6
47360,1984,8,31,19.6
47361,1984,9,1,17.3
47362,1984,9,2,17.9
47363,1984,9,3,17.8
47364,1984,9,4,13
47365,1984,9,5,13.2
47366,1984,9,6,17.1
47367,1984,9,7,19.6
47368,1984,9,8,16.3
47369,1984,9,9,16.9
47370,1984,9,10,22.2
47371,1984,9,11,12
47372,1984,9,12,14.2
47373,1984,9,13,16.8
47374,1984,9,14,16.9
47375,1984,9,15,22
47376,1984,9,16,16.4
47377,1984,9,17,14.2
47378,1984,9,18,11.8
47379,1984,9,19,15.2
47380,1984,9,20,12.6
47381,1984,9,21,13.2
47382,1984,9,22,14.4
47383,1984,9,23,15
47384,1984,9,24,16.5
47385,1984,9,25,13.3
47386,1984,9,26,14.5
47387,1984,9,27,16.7
47388,1984,9,28,13.8
47389,1984,9,29,12.4
47390,1984,9,30,13.7
47391,1984,10,1,19.9
47392,1984,10,2,24
47393,1984,10,3,18.7
47394,1984,10,4,18.9
47395,1984,10,5,20.2
47396,1984,10,6,19.9
47397,1984,10,7,24
47398,1984,10,8,27.3
47399,1984,10,9,24.2
47400,1984,10,10,18
47401,1984,10,11,21.3
47402,1984,10,12,26.6
47403,1984,10,13,18.5
47404,1984,10,14,18.2
47405,1984,10,15,21
47406,1984,10,16,12
47407,1984,10,17,12.2
47408,1984,10,18,14.1
47409,1984,10,19,16.5
47410,1984,10,20,15.5
47411,1984,10,21,15
47412,1984,10,22,20.8
47413,1984,10,23,27.3
47414,1984,10,24,28.4
47415,1984,10,25,18.9
47416,1984,10,26,18.2
47417,1984,10,27,25.5
47418,1984,10,28,15.9
47419,1984,10,29,15.5
47420,1984,10,30,21.4
47421,1984,10,31,23.2
47422,1984,11,1,26.8
47423,1984,11,2,23.9
47424,1984,11,3,19.1
47425,1984,11,4,15.2
47426,1984,11,5,14.9
47427,1984,11,6,21.3
47428,1984,11,7,25.4
47429,1984,11,8,28.7
47430,1984,11,9,32.3
47431,1984,11,10,25.7
47432,1984,11,11,19
47433,1984,11,12,19.4
47434,1984,11,13,15
47435,1984,11,14,16.5
47436,1984,11,15,16.3
47437,1984,11,16,28.9
47438,1984,11,17,27.4
47439,1984,11,18,32.9
47440,1984,11,19,27
47441,1984,11,20,23.7
47442,1984,11,21,22.8
47443,1984,11,22,16.5
47444,1984,11,23,14
47445,1984,11,24,18
47446,1984,11,25,28.2
47447,1984,11,26,32.8
47448,1984,11,27,28
47449,1984,11,28,22.2
47450,1984,11,29,21.8
47451,1984,11,30,18.7
47452,1984,12,1,25.5
47453,1984,12,2,27.6
47454,1984,12,3,16.5
47455,1984,12,4,15.9
47456,1984,12,5,16.8
47457,1984,12,6,17.9
47458,1984,12,7,23.1
47459,1984,12,8,22.8
47460,1984,12,9,24.2
47461,1984,12,10,27.7
47462,1984,12,11,21.3
47463,1984,12,12,23.5
47464,1984,12,13,17.9
47465,1984,12,14,24.2
47466,1984,12,15,20
47467,1984,12,16,23.7
47468,1984,12,17,27
47469,1984,12,18,24.6
47470,1984,12,19,25
47471,1984,12,20,20
47472,1984,12,21,22.7
47473,1984,12,22,22.6
47474,1984,12,23,29.2
47475,1984,12,24,27.8
47476,1984,12,25,26.5
47477,1984,12,26,18.9
47478,1984,12,27,23.2
47479,1984,12,28,24.2
47480,1984,12,29,28.1
47481,1984,12,30,30.3
47482,1984,12,31,25.6
47483,1985,1,1,20.7
47484,1985,1,2,19.6
47485,1985,1,3,21.7
47486,1985,1,4,28
47487,1985,1,5,21.3
47488,1985,1,6,21.4
47489,1985,1,7,21.4
47490,1985,1,8,22.6
47491,1985,1,9,21.7
47492,1985,1,10,21.8
47493,1985,1,11,19.8
47494,1985,1,12,30.4
47495,1985,1,13,36
47496,1985,1,14,42.2
47497,1985,1,15,21.1
47498,1985,1,16,20
47499,1985,1,17,18.4
47500,1985,1,18,19.1
47501,1985,1,19,19.3
47502,1985,1,20,18.8
47503,1985,1,21,22.8
47504,1985,1,22,20
47505,1985,1,23,21.9
47506,1985,1,24,20.1
47507,1985,1,25,23.2
47508,1985,1,26,34.5
47509,1985,1,27,22.1
47510,1985,1,28,21.6
47511,1985,1,29,30
47512,1985,1,30,34
47513,1985,1,31,22.2
47514,1985,2,1,19.6
47515,1985,2,2,25.4
47516,1985,2,3,37.1
47517,1985,2,4,30.2
47518,1985,2,5,29.1
47519,1985,2,6,21.1
47520,1985,2,7,19.1
